Date,Time,Duration,Region,Disruption_Type,Impact_Level,Infrastructure
2017-11-09,09:32,26,Asia,Accuracy Drop,Medium,GPS
2019-03-22,02:27,42,Europe,Timing Error,High,GPS
2016-07-08,03:31,41,Asia,Timing Error,High,GPS
2015-05-21,02:11,39,Europe,Timing Error,High,GPS
2021-10-26,17:09,4,North America,Signal Loss,Low,GPS
2017-07-17,22:48,2,North America,Accuracy Drop,Low,GPS
2017-10-06,10:33,4,Europe,Accuracy Drop,Low,GPS
2022-12-16,20:12,49,Europe,Accuracy Drop,High,GPS
2022-05-31,16:45,36,Asia,Accuracy Drop,High,GPS
2016-11-30,05:42,55,North America,Signal Loss,High,GPS
2019-04-23,21:41,28,Asia,Signal Loss,Medium,GPS
2019-07-18,10:35,38,Europe,Signal Loss,High,GPS
2023-05-11,13:25,57,North America,Signal Loss,High,GPS
2022-04-19,19:44,36,Europe,Timing Error,High,GPS
2015-04-30,14:23,4,North America,Signal Loss,Low,GPS
2018-09-05,04:48,51,Asia,Timing Error,High,GPS
2023-06-06,08:08,1,Asia,Signal Loss,Low,GPS
2022-07-20,20:06,6,Asia,Timing Error,Low,GPS
2023-09-11,16:59,42,Oceania,Timing Error,High,GPS
2022-03-17,10:29,55,Asia,Timing Error,High,GPS
2024-02-29,21:52,52,Europe,Signal Loss,High,GPS
2022-12-07,17:21,53,Oceania,Accuracy Drop,High,GPS
2022-04-16,04:30,55,Asia,Timing Error,High,GPS
2022-01-05,06:41,34,North America,Signal Loss,High,GPS
2020-08-15,18:37,55,Europe,Accuracy Drop,High,GPS
2020-12-02,08:08,2,North America,Signal Loss,Low,GPS
2023-11-21,09:32,50,North America,Timing Error,High,GPS
2016-02-07,07:30,22,North America,Signal Loss,Medium,GPS
2022-04-15,20:33,37,Europe,Accuracy Drop,High,GPS
2024-01-18,22:43,49,Oceania,Timing Error,High,GPS
2019-04-01,15:35,33,Europe,Timing Error,High,GPS
2018-11-14,12:23,18,Asia,Timing Error,Medium,GPS
2022-04-06,11:38,2,Europe,Signal Loss,Low,GPS
2018-08-01,19:45,6,Oceania,Accuracy Drop,Low,GPS
2021-07-21,14:17,55,Oceania,Timing Error,High,GPS
2020-06-26,10:58,35,Asia,Accuracy Drop,High,GPS
2015-04-20,20:51,44,Oceania,Signal Loss,High,GPS
2021-02-07,15:37,36,Asia,Accuracy Drop,High,GPS
2022-01-27,05:52,31,Europe,Accuracy Drop,High,GPS
2015-01-21,07:26,19,Oceania,Signal Loss,Medium,GPS
2021-05-01,23:48,21,Asia,Accuracy Drop,Medium,GPS
2019-11-20,18:29,43,Oceania,Accuracy Drop,High,GPS
2015-12-08,21:01,40,Europe,Signal Loss,High,GPS
2024-05-31,12:37,27,North America,Signal Loss,Medium,GPS
2017-09-21,18:04,42,Oceania,Timing Error,High,GPS
2024-06-23,23:24,32,Asia,Signal Loss,High,GPS
2017-08-17,13:57,45,Asia,Signal Loss,High,GPS
2016-05-10,23:00,52,Europe,Signal Loss,High,GPS
2017-07-23,18:33,54,Oceania,Timing Error,High,GPS
2019-03-07,02:34,28,North America,Accuracy Drop,Medium,GPS
2020-04-16,01:52,49,Asia,Timing Error,High,GPS
2019-08-01,02:43,23,Oceania,Accuracy Drop,Medium,GPS
2020-10-31,13:25,39,Europe,Accuracy Drop,High,GPS
2022-12-31,12:27,24,Oceania,Accuracy Drop,Medium,GPS
2018-06-03,15:02,10,Asia,Signal Loss,Low,GPS
2021-05-20,22:17,56,Europe,Timing Error,High,GPS
2015-05-24,15:22,57,Europe,Timing Error,High,GPS
2022-09-25,12:18,5,Europe,Accuracy Drop,Low,GPS
2015-03-19,22:19,24,North America,Signal Loss,Medium,GPS
2017-11-21,02:40,15,Europe,Accuracy Drop,Medium,GPS
2021-06-03,15:26,1,North America,Accuracy Drop,Low,GPS
2017-01-18,12:27,11,North America,Signal Loss,Medium,GPS
2017-01-02,01:19,54,Asia,Timing Error,High,GPS
2023-11-01,15:31,14,North America,Signal Loss,Medium,GPS
2022-08-13,16:11,36,Europe,Signal Loss,High,GPS
2015-02-09,13:55,31,North America,Timing Error,High,GPS
2020-10-31,03:23,15,Oceania,Signal Loss,Medium,GPS
2017-09-14,05:36,30,Asia,Accuracy Drop,Medium,GPS
2019-08-02,19:02,47,Europe,Timing Error,High,GPS
2015-09-05,12:16,59,Europe,Signal Loss,High,GPS
2018-02-21,08:21,54,North America,Timing Error,High,GPS
2024-11-02,03:29,47,Oceania,Signal Loss,High,GPS
2022-10-20,07:45,39,Europe,Accuracy Drop,High,GPS
2019-05-05,06:24,4,Oceania,Signal Loss,Low,GPS
2015-10-25,02:14,32,Oceania,Signal Loss,High,GPS
2018-02-01,07:48,57,North America,Accuracy Drop,High,GPS
2015-01-18,19:29,5,Asia,Accuracy Drop,Low,GPS
2016-02-24,16:55,55,Asia,Accuracy Drop,High,GPS
2017-04-17,23:48,23,Oceania,Signal Loss,Medium,GPS
2017-03-01,07:53,39,Oceania,Timing Error,High,GPS
2024-01-30,08:56,52,Asia,Signal Loss,High,GPS
2024-08-17,20:53,25,North America,Signal Loss,Medium,GPS
2023-03-17,14:34,11,Asia,Signal Loss,Medium,GPS
2017-06-03,12:41,47,Europe,Accuracy Drop,High,GPS
2019-04-22,12:51,11,North America,Accuracy Drop,Medium,GPS
2015-07-28,21:51,1,Europe,Accuracy Drop,Low,GPS
2019-11-16,09:13,4,North America,Timing Error,Low,GPS
2023-06-01,17:01,44,North America,Signal Loss,High,GPS
2021-03-23,05:53,36,North America,Accuracy Drop,High,GPS
2018-06-01,07:00,23,Asia,Accuracy Drop,Medium,GPS
2021-10-21,17:47,52,North America,Timing Error,High,GPS
2023-04-20,11:52,4,Asia,Timing Error,Low,GPS
2016-03-05,08:35,59,North America,Timing Error,High,GPS
2022-05-29,23:15,14,Asia,Accuracy Drop,Medium,GPS
2019-10-28,21:36,59,North America,Accuracy Drop,High,GPS
2023-02-18,21:51,10,Europe,Signal Loss,Low,GPS
2023-10-24,02:04,23,Europe,Accuracy Drop,Medium,GPS
2021-03-15,15:53,33,Asia,Signal Loss,High,GPS
2019-03-14,08:51,57,North America,Timing Error,High,GPS
2015-06-27,02:19,33,Asia,Timing Error,High,GPS
2016-03-02,02:39,11,North America,Signal Loss,Medium,GPS
2019-06-09,21:58,21,Oceania,Timing Error,Medium,GPS
2021-05-26,16:18,2,Europe,Signal Loss,Low,GPS
2023-04-24,19:05,52,North America,Accuracy Drop,High,GPS
2021-07-26,19:17,6,Oceania,Timing Error,Low,GPS
2016-04-17,02:48,11,Asia,Timing Error,Medium,GPS
2023-11-16,15:12,21,Asia,Signal Loss,Medium,GPS
2019-12-13,06:38,28,Asia,Accuracy Drop,Medium,GPS
2017-09-25,08:58,12,Oceania,Timing Error,Medium,GPS
2019-01-30,18:33,3,Asia,Signal Loss,Low,GPS
2020-10-10,19:10,17,Europe,Timing Error,Medium,GPS
2015-08-26,09:46,53,Oceania,Signal Loss,High,GPS
2015-01-26,08:58,47,Asia,Timing Error,High,GPS
2019-07-16,13:47,8,Asia,Accuracy Drop,Low,GPS
2023-11-16,20:28,33,Asia,Timing Error,High,GPS
2021-09-20,14:41,32,Europe,Accuracy Drop,High,GPS
2023-06-10,05:34,13,Oceania,Signal Loss,Medium,GPS
2023-07-18,10:15,51,North America,Signal Loss,High,GPS
2023-04-07,05:13,52,North America,Accuracy Drop,High,GPS
2023-08-04,11:41,25,Europe,Signal Loss,Medium,GPS
2023-07-05,10:10,11,North America,Timing Error,Medium,GPS
2020-03-07,10:38,4,North America,Signal Loss,Low,GPS
2020-08-30,04:10,48,Europe,Timing Error,High,GPS
2023-11-11,04:10,13,North America,Timing Error,Medium,GPS
2015-08-08,02:16,58,Oceania,Accuracy Drop,High,GPS
2019-07-19,05:52,44,North America,Timing Error,High,GPS
2021-10-01,05:09,30,Europe,Signal Loss,Medium,GPS
2023-10-24,17:02,14,Europe,Timing Error,Medium,GPS
2024-11-25,06:06,32,North America,Accuracy Drop,High,GPS
2015-07-28,23:55,52,Oceania,Timing Error,High,GPS
2018-02-14,12:21,24,Asia,Timing Error,Medium,GPS
2022-11-04,13:52,8,North America,Timing Error,Low,GPS
2018-02-20,16:00,26,North America,Signal Loss,Medium,GPS
2016-10-18,15:01,18,Europe,Signal Loss,Medium,GPS
2015-12-01,23:11,39,North America,Signal Loss,High,GPS
2021-05-30,15:07,26,Oceania,Signal Loss,Medium,GPS
2024-10-22,21:47,50,Asia,Signal Loss,High,GPS
2017-05-16,13:52,26,Asia,Signal Loss,Medium,GPS
2019-02-10,05:52,26,North America,Accuracy Drop,Medium,GPS
2017-03-08,12:22,57,Oceania,Accuracy Drop,High,GPS
2022-11-07,10:29,11,Oceania,Timing Error,Medium,GPS
2017-01-05,23:54,35,Asia,Accuracy Drop,High,GPS
2022-01-04,15:10,14,Europe,Accuracy Drop,Medium,GPS
2019-02-18,15:14,21,Asia,Signal Loss,Medium,GPS
2020-04-22,16:48,28,Oceania,Timing Error,Medium,GPS
2017-07-07,18:37,55,Oceania,Signal Loss,High,GPS
2015-08-22,07:51,21,North America,Accuracy Drop,Medium,GPS
2024-09-18,15:27,40,Oceania,Accuracy Drop,High,GPS
2018-06-05,19:18,19,North America,Timing Error,Medium,GPS
2016-07-24,21:39,41,Asia,Signal Loss,High,GPS
2018-12-28,04:03,58,Europe,Timing Error,High,GPS
2021-05-26,11:57,3,Oceania,Timing Error,Low,GPS
2023-08-16,22:28,16,Europe,Accuracy Drop,Medium,GPS
2024-03-07,10:21,47,Asia,Timing Error,High,GPS
2022-10-24,04:01,46,Europe,Timing Error,High,GPS
2020-02-10,18:43,27,North America,Accuracy Drop,Medium,GPS
2020-08-20,04:40,17,Asia,Accuracy Drop,Medium,GPS
2017-01-06,13:49,49,Asia,Signal Loss,High,GPS
2017-10-05,00:55,3,Europe,Accuracy Drop,Low,GPS
2022-05-30,07:58,16,Oceania,Accuracy Drop,Medium,GPS
2022-08-14,06:35,3,Oceania,Accuracy Drop,Low,GPS
2024-11-28,18:54,9,North America,Timing Error,Low,GPS
2020-04-12,16:50,34,Oceania,Timing Error,High,GPS
2024-02-12,21:59,21,Europe,Signal Loss,Medium,GPS
2019-01-03,05:06,3,North America,Signal Loss,Low,GPS
2019-01-07,08:28,26,Europe,Accuracy Drop,Medium,GPS
2019-01-15,02:48,4,Oceania,Signal Loss,Low,GPS
2023-03-15,10:26,30,Asia,Accuracy Drop,Medium,GPS
2024-05-10,01:03,27,Oceania,Timing Error,Medium,GPS
2019-04-16,14:37,9,North America,Timing Error,Low,GPS
2019-10-10,05:30,52,Asia,Timing Error,High,GPS
2017-12-28,00:11,43,Asia,Accuracy Drop,High,GPS
2015-09-09,23:12,41,Asia,Signal Loss,High,GPS
2017-05-10,05:27,41,North America,Signal Loss,High,GPS
2023-12-17,06:07,46,Oceania,Signal Loss,High,GPS
2023-06-29,07:56,36,Europe,Accuracy Drop,High,GPS
2024-10-07,16:17,34,Asia,Signal Loss,High,GPS
2018-04-14,02:17,52,North America,Timing Error,High,GPS
2016-05-16,02:14,3,Oceania,Timing Error,Low,GPS
2015-08-15,03:02,37,Europe,Signal Loss,High,GPS
2022-05-02,10:22,5,Asia,Timing Error,Low,GPS
2021-10-03,18:45,30,Oceania,Signal Loss,Medium,GPS
2021-06-22,23:57,11,Oceania,Signal Loss,Medium,GPS
2024-07-26,22:08,22,Asia,Accuracy Drop,Medium,GPS
2018-01-16,04:09,33,Asia,Accuracy Drop,High,GPS
2017-07-18,10:11,55,Europe,Signal Loss,High,GPS
2023-10-22,11:11,37,Oceania,Accuracy Drop,High,GPS
2016-09-02,15:09,15,Asia,Timing Error,Medium,GPS
2019-01-24,23:53,53,Oceania,Accuracy Drop,High,GPS
2019-08-10,09:06,51,Oceania,Signal Loss,High,GPS
2015-08-26,10:54,29,Europe,Signal Loss,Medium,GPS
2020-10-23,12:30,23,Europe,Timing Error,Medium,GPS
2023-08-01,03:32,24,Europe,Accuracy Drop,Medium,GPS
2015-01-08,04:50,21,North America,Timing Error,Medium,GPS
2015-02-13,14:56,41,Europe,Timing Error,High,GPS
2024-01-15,17:42,20,Europe,Signal Loss,Medium,GPS
2023-01-17,23:33,33,Europe,Signal Loss,High,GPS
2019-06-30,22:14,51,Europe,Timing Error,High,GPS
2023-09-01,06:49,45,Europe,Accuracy Drop,High,GPS
2017-03-25,00:18,24,Asia,Accuracy Drop,Medium,GPS
2019-03-20,02:20,56,Asia,Signal Loss,High,GPS
2017-07-20,00:14,8,North America,Signal Loss,Low,GPS
2018-10-24,12:28,41,North America,Signal Loss,High,GPS
2018-09-05,13:39,54,Oceania,Signal Loss,High,GPS
2017-08-29,16:28,18,Asia,Timing Error,Medium,GPS
2024-05-02,05:08,1,Oceania,Accuracy Drop,Low,GPS
2022-10-19,18:44,12,Asia,Timing Error,Medium,GPS
2017-01-21,10:47,47,Oceania,Timing Error,High,GPS
2023-03-13,13:54,48,Oceania,Timing Error,High,GPS
2020-01-30,17:19,47,Europe,Signal Loss,High,GPS
2021-04-08,20:41,15,Asia,Timing Error,Medium,GPS
2020-05-08,13:25,44,Europe,Timing Error,High,GPS
2021-07-26,18:30,3,Oceania,Signal Loss,Low,GPS
2024-04-14,02:19,13,North America,Signal Loss,Medium,GPS
2018-01-29,23:36,37,Asia,Timing Error,High,GPS
2018-01-23,09:09,11,Europe,Accuracy Drop,Medium,GPS
2023-07-19,10:34,20,Asia,Signal Loss,Medium,GPS
2021-04-25,03:36,17,Asia,Timing Error,Medium,GPS
2019-08-09,07:41,46,Oceania,Timing Error,High,GPS
2023-10-22,16:15,44,Asia,Timing Error,High,GPS
2018-06-02,02:23,22,Oceania,Signal Loss,Medium,GPS
2023-02-02,23:44,46,North America,Timing Error,High,GPS
2018-05-31,11:48,30,Oceania,Timing Error,Medium,GPS
2015-09-04,19:41,28,Oceania,Signal Loss,Medium,GPS
2023-02-06,02:30,55,Oceania,Accuracy Drop,High,GPS
2024-04-28,17:58,38,Europe,Signal Loss,High,GPS
2019-12-04,17:59,29,Asia,Timing Error,Medium,GPS
2019-02-12,10:14,8,Oceania,Signal Loss,Low,GPS
2020-11-20,16:22,51,Europe,Accuracy Drop,High,GPS
2022-05-20,23:25,11,Oceania,Accuracy Drop,Medium,GPS
2017-09-01,11:32,59,North America,Accuracy Drop,High,GPS
2023-10-03,23:19,47,North America,Timing Error,High,GPS
2022-12-24,09:28,59,North America,Accuracy Drop,High,GPS
2018-03-03,16:51,6,Oceania,Signal Loss,Low,GPS
2016-06-11,16:01,47,Oceania,Timing Error,High,GPS
2024-03-05,12:24,26,North America,Timing Error,Medium,GPS
2023-10-23,17:02,4,North America,Signal Loss,Low,GPS
2023-09-24,09:30,9,Oceania,Accuracy Drop,Low,GPS
2017-06-22,21:13,12,Oceania,Timing Error,Medium,GPS
2020-04-21,13:59,4,North America,Accuracy Drop,Low,GPS
2015-08-20,19:17,44,North America,Accuracy Drop,High,GPS
2019-11-25,12:55,52,Asia,Signal Loss,High,GPS
2018-01-30,02:50,57,North America,Signal Loss,High,GPS
2019-05-25,11:35,53,Europe,Timing Error,High,GPS
2022-11-22,06:18,30,Europe,Accuracy Drop,Medium,GPS
2018-07-13,03:39,52,Europe,Timing Error,High,GPS
2024-09-05,03:23,40,Asia,Timing Error,High,GPS
2022-11-17,13:06,55,Asia,Timing Error,High,GPS
2015-08-14,21:14,59,Europe,Timing Error,High,GPS
2019-08-09,14:41,17,Oceania,Accuracy Drop,Medium,GPS
2015-01-24,20:55,7,North America,Signal Loss,Low,GPS
2018-09-11,15:59,31,Asia,Accuracy Drop,High,GPS
2018-12-22,16:59,50,Asia,Signal Loss,High,GPS
2023-05-07,06:22,9,North America,Accuracy Drop,Low,GPS
2018-08-31,10:42,24,North America,Timing Error,Medium,GPS
2015-08-17,17:42,42,Oceania,Accuracy Drop,High,GPS
2020-12-05,19:57,16,North America,Timing Error,Medium,GPS
2023-10-16,22:36,45,North America,Timing Error,High,GPS
2015-11-29,17:26,53,Oceania,Signal Loss,High,GPS
2019-04-18,21:56,13,Europe,Accuracy Drop,Medium,GPS
2015-11-22,18:48,44,Asia,Signal Loss,High,GPS
2020-01-03,00:21,15,Asia,Accuracy Drop,Medium,GPS
2021-03-25,00:10,43,Europe,Accuracy Drop,High,GPS
2019-03-05,18:16,51,Asia,Signal Loss,High,GPS
2021-04-23,00:10,53,Asia,Signal Loss,High,GPS
2024-07-24,19:51,17,Oceania,Accuracy Drop,Medium,GPS
2016-10-15,10:41,33,Oceania,Timing Error,High,GPS
2017-04-13,02:16,13,North America,Timing Error,Medium,GPS
2018-03-20,22:32,34,North America,Signal Loss,High,GPS
2015-10-19,04:20,24,Europe,Signal Loss,Medium,GPS
2016-08-24,17:34,40,Oceania,Accuracy Drop,High,GPS
2024-01-16,01:11,4,Asia,Timing Error,Low,GPS
2022-11-16,18:37,45,Asia,Signal Loss,High,GPS
2022-11-09,23:48,50,Asia,Timing Error,High,GPS
2024-06-25,10:50,47,Europe,Timing Error,High,GPS
2016-03-09,19:08,10,Asia,Signal Loss,Low,GPS
2017-01-29,15:17,57,Europe,Signal Loss,High,GPS
2019-09-14,06:14,39,Oceania,Timing Error,High,GPS
2019-12-13,05:00,14,Asia,Timing Error,Medium,GPS
2018-10-16,22:07,21,Asia,Signal Loss,Medium,GPS
2015-05-18,01:46,13,Europe,Timing Error,Medium,GPS
2019-12-08,12:52,26,Europe,Accuracy Drop,Medium,GPS
2021-03-10,10:54,18,North America,Signal Loss,Medium,GPS
2015-08-13,00:22,11,Oceania,Accuracy Drop,Medium,GPS
2024-10-22,04:01,25,Oceania,Accuracy Drop,Medium,GPS
2022-12-11,13:23,29,Oceania,Accuracy Drop,Medium,GPS
2018-09-30,12:52,41,Asia,Accuracy Drop,High,GPS
2019-11-23,01:10,49,Oceania,Signal Loss,High,GPS
2018-11-03,22:23,1,Europe,Signal Loss,Low,GPS
2023-01-22,16:15,51,North America,Accuracy Drop,High,GPS
2015-12-02,03:09,4,Asia,Signal Loss,Low,GPS
2017-02-18,01:46,5,Oceania,Accuracy Drop,Low,GPS
2020-11-08,19:01,9,Oceania,Timing Error,Low,GPS
2023-07-12,22:45,18,Asia,Signal Loss,Medium,GPS
2017-02-10,14:27,11,Oceania,Accuracy Drop,Medium,GPS
2019-04-28,11:25,1,Oceania,Timing Error,Low,GPS
2022-11-07,19:21,23,Oceania,Timing Error,Medium,GPS
2019-07-20,14:01,42,North America,Signal Loss,High,GPS
2019-12-06,17:21,10,Europe,Accuracy Drop,Low,GPS
2018-11-04,20:07,17,Asia,Signal Loss,Medium,GPS
2022-06-10,13:47,17,North America,Timing Error,Medium,GPS
2015-05-10,13:48,17,Asia,Signal Loss,Medium,GPS
2021-01-14,05:49,47,Asia,Timing Error,High,GPS
2015-02-11,09:51,17,Asia,Signal Loss,Medium,GPS
2015-10-05,19:59,39,Europe,Accuracy Drop,High,GPS
2017-12-08,17:19,5,North America,Signal Loss,Low,GPS
2016-11-27,14:26,9,North America,Accuracy Drop,Low,GPS
2015-04-05,04:42,19,Asia,Timing Error,Medium,GPS
2018-10-28,00:38,47,Oceania,Timing Error,High,GPS
2018-01-24,22:03,29,North America,Accuracy Drop,Medium,GPS
2023-01-05,02:16,12,Oceania,Signal Loss,Medium,GPS
2024-04-23,08:22,24,Asia,Signal Loss,Medium,GPS
2020-10-20,19:44,36,North America,Timing Error,High,GPS
2024-11-27,07:43,36,Oceania,Accuracy Drop,High,GPS
2017-06-09,09:06,26,Oceania,Timing Error,Medium,GPS
2018-10-21,10:42,17,North America,Timing Error,Medium,GPS
2018-06-05,20:38,26,North America,Signal Loss,Medium,GPS
2016-07-02,04:03,22,Oceania,Accuracy Drop,Medium,GPS
2021-09-29,21:49,47,Asia,Timing Error,High,GPS
2021-08-27,15:01,45,Europe,Accuracy Drop,High,GPS
2023-02-01,05:34,9,Europe,Signal Loss,Low,GPS
2023-05-24,07:25,10,Europe,Timing Error,Low,GPS
2023-01-10,06:13,34,North America,Signal Loss,High,GPS
2019-09-09,18:35,7,North America,Accuracy Drop,Low,GPS
2017-10-01,20:14,30,Europe,Signal Loss,Medium,GPS
2022-10-05,13:59,47,North America,Accuracy Drop,High,GPS
2015-08-20,20:13,45,Asia,Timing Error,High,GPS
2022-06-08,07:25,27,Europe,Accuracy Drop,Medium,GPS
2015-07-09,09:13,14,Europe,Accuracy Drop,Medium,GPS
2017-08-20,01:23,8,North America,Timing Error,Low,GPS
2016-01-07,20:14,35,Oceania,Signal Loss,High,GPS
2023-01-28,16:55,11,Oceania,Signal Loss,Medium,GPS
2017-12-07,19:08,19,Asia,Accuracy Drop,Medium,GPS
2017-12-23,17:36,25,North America,Timing Error,Medium,GPS
2022-08-09,23:48,30,Europe,Timing Error,Medium,GPS
2020-08-20,22:32,12,North America,Signal Loss,Medium,GPS
2015-01-18,20:06,14,North America,Accuracy Drop,Medium,GPS
2020-02-20,18:22,54,Europe,Accuracy Drop,High,GPS
2023-09-06,12:34,56,Europe,Timing Error,High,GPS
2022-01-15,09:28,3,Asia,Timing Error,Low,GPS
2016-12-02,09:34,59,Asia,Signal Loss,High,GPS
2019-04-01,17:55,55,Oceania,Accuracy Drop,High,GPS
2024-07-12,17:23,15,Asia,Accuracy Drop,Medium,GPS
2019-09-02,09:05,19,Europe,Signal Loss,Medium,GPS
2022-06-03,09:44,28,Europe,Signal Loss,Medium,GPS
2019-07-21,17:22,42,North America,Timing Error,High,GPS
2024-04-22,14:45,53,North America,Accuracy Drop,High,GPS
2017-01-13,23:35,29,Oceania,Timing Error,Medium,GPS
2017-06-06,13:52,56,Europe,Signal Loss,High,GPS
2022-05-25,02:17,59,Europe,Signal Loss,High,GPS
2019-05-03,13:12,39,Oceania,Timing Error,High,GPS
2017-02-07,00:10,53,Europe,Accuracy Drop,High,GPS
2019-09-28,12:25,29,Asia,Accuracy Drop,Medium,GPS
2023-02-28,20:33,5,Europe,Accuracy Drop,Low,GPS
2020-12-12,10:17,58,North America,Accuracy Drop,High,GPS
2024-12-12,06:45,55,North America,Accuracy Drop,High,GPS
2017-04-26,12:12,41,North America,Signal Loss,High,GPS
2020-01-31,16:50,44,Asia,Timing Error,High,GPS
2021-10-06,23:02,32,Europe,Signal Loss,High,GPS
2024-04-18,11:47,34,Europe,Accuracy Drop,High,GPS
2024-05-07,22:21,57,Oceania,Accuracy Drop,High,GPS
2023-07-22,20:37,41,North America,Accuracy Drop,High,GPS
2015-12-02,06:24,2,North America,Accuracy Drop,Low,GPS
2015-02-17,06:52,3,Europe,Timing Error,Low,GPS
2020-09-01,23:48,11,Oceania,Accuracy Drop,Medium,GPS
2015-07-04,03:46,30,North America,Accuracy Drop,Medium,GPS
2016-11-17,17:05,11,Oceania,Signal Loss,Medium,GPS
2017-05-25,10:10,22,Europe,Signal Loss,Medium,GPS
2021-12-12,13:28,50,North America,Timing Error,High,GPS
2018-01-15,23:01,51,North America,Timing Error,High,GPS
2018-11-26,10:37,14,North America,Signal Loss,Medium,GPS
2015-11-11,17:11,24,Europe,Signal Loss,Medium,GPS
2016-06-22,18:52,53,Oceania,Accuracy Drop,High,GPS
2018-09-03,22:38,5,Europe,Signal Loss,Low,GPS
2016-04-18,02:48,7,Asia,Timing Error,Low,GPS
2015-05-22,05:02,7,Europe,Accuracy Drop,Low,GPS
2021-01-14,12:49,59,Asia,Timing Error,High,GPS
2017-11-10,00:31,7,North America,Signal Loss,Low,GPS
2016-03-08,12:17,58,Europe,Signal Loss,High,GPS
2016-05-24,12:13,24,Oceania,Timing Error,Medium,GPS
2020-01-19,20:02,46,Europe,Signal Loss,High,GPS
2019-12-06,22:36,17,Asia,Timing Error,Medium,GPS
2022-08-11,10:16,49,North America,Timing Error,High,GPS
2020-07-06,17:10,10,Oceania,Signal Loss,Low,GPS
2021-04-25,05:23,26,Asia,Signal Loss,Medium,GPS
2021-02-06,03:45,11,North America,Signal Loss,Medium,GPS
2015-02-14,03:53,44,North America,Signal Loss,High,GPS
2020-11-20,21:58,27,North America,Timing Error,Medium,GPS
2021-09-16,07:11,19,North America,Accuracy Drop,Medium,GPS
2022-09-08,13:54,45,Oceania,Timing Error,High,GPS
2016-01-16,10:22,34,Europe,Timing Error,High,GPS
2015-07-14,16:17,17,Asia,Timing Error,Medium,GPS
2015-03-06,22:53,36,Oceania,Accuracy Drop,High,GPS
2019-11-13,12:26,16,Europe,Signal Loss,Medium,GPS
2022-10-11,01:51,20,North America,Accuracy Drop,Medium,GPS
2015-09-26,08:49,5,Oceania,Accuracy Drop,Low,GPS
2019-06-07,07:39,16,Europe,Signal Loss,Medium,GPS
2021-10-03,08:03,39,Europe,Timing Error,High,GPS
2018-10-14,11:38,38,Europe,Timing Error,High,GPS
2018-04-26,17:28,10,Europe,Accuracy Drop,Low,GPS
2022-11-08,13:56,56,Oceania,Signal Loss,High,GPS
2022-08-22,20:01,58,Oceania,Accuracy Drop,High,GPS
2015-03-18,17:05,29,Oceania,Accuracy Drop,Medium,GPS
2017-08-18,02:10,13,Europe,Timing Error,Medium,GPS
2016-07-31,14:44,19,Oceania,Accuracy Drop,Medium,GPS
2024-12-16,20:20,26,Europe,Timing Error,Medium,GPS
2023-07-19,06:56,37,Oceania,Accuracy Drop,High,GPS
2015-10-07,16:50,36,Oceania,Timing Error,High,GPS
2022-06-11,15:31,6,North America,Accuracy Drop,Low,GPS
2015-02-09,16:48,20,Oceania,Accuracy Drop,Medium,GPS
2016-06-15,15:29,32,Oceania,Signal Loss,High,GPS
2022-12-12,20:52,43,North America,Timing Error,High,GPS
2023-05-01,04:02,4,Oceania,Timing Error,Low,GPS
2015-07-19,07:26,6,North America,Timing Error,Low,GPS
2021-03-17,17:49,45,North America,Timing Error,High,GPS
2023-02-22,18:09,24,Oceania,Signal Loss,Medium,GPS
2018-09-21,09:34,41,Oceania,Signal Loss,High,GPS
2022-09-02,08:41,24,Europe,Accuracy Drop,Medium,GPS
2019-11-20,17:28,8,Asia,Timing Error,Low,GPS
2017-07-26,21:08,12,North America,Timing Error,Medium,GPS
2019-03-22,19:24,35,North America,Accuracy Drop,High,GPS
2015-10-07,17:08,46,North America,Timing Error,High,GPS
2017-10-19,16:35,4,Europe,Accuracy Drop,Low,GPS
2018-10-15,16:19,32,Asia,Accuracy Drop,High,GPS
2018-11-12,19:55,25,Europe,Signal Loss,Medium,GPS
2019-04-23,18:01,20,Asia,Accuracy Drop,Medium,GPS
2021-04-16,16:09,51,Asia,Accuracy Drop,High,GPS
2022-01-28,12:47,25,Europe,Accuracy Drop,Medium,GPS
2019-10-06,23:46,15,North America,Signal Loss,Medium,GPS
2015-02-24,04:17,53,Asia,Signal Loss,High,GPS
2021-09-06,21:38,26,Asia,Accuracy Drop,Medium,GPS
2021-12-05,10:39,31,North America,Signal Loss,High,GPS
2021-05-07,23:00,4,Europe,Signal Loss,Low,GPS
2020-08-07,19:43,43,Asia,Accuracy Drop,High,GPS
2021-05-19,07:31,29,Europe,Accuracy Drop,Medium,GPS
2020-08-25,21:10,50,Oceania,Accuracy Drop,High,GPS
2017-08-11,16:01,41,North America,Signal Loss,High,GPS
2019-03-09,07:26,12,North America,Timing Error,Medium,GPS
2020-03-04,02:48,51,Oceania,Accuracy Drop,High,GPS
2024-06-16,21:49,39,Oceania,Timing Error,High,GPS
2021-09-12,14:34,17,Asia,Accuracy Drop,Medium,GPS
2022-10-06,00:54,16,Oceania,Signal Loss,Medium,GPS
2017-06-15,13:14,15,Oceania,Signal Loss,Medium,GPS
2020-04-14,07:52,4,North America,Timing Error,Low,GPS
2018-08-15,09:02,24,Europe,Timing Error,Medium,GPS
2023-06-14,04:10,6,Europe,Signal Loss,Low,GPS
2016-03-04,08:43,23,Europe,Accuracy Drop,Medium,GPS
