Hour,Month,DayOfWeek,Infrastructure,Speed,Direction,Width,Impact_Level
0,11,5,GPS,845.0,Unknown,181.0,Medium
7,12,0,GPS,845.0,Unknown,181.0,High
17,9,2,GPS,845.0,Unknown,181.0,Low
7,10,3,GPS,845.0,Unknown,181.0,Medium
0,2,1,GPS,845.0,Unknown,181.0,Low
20,8,6,GPS,845.0,Unknown,181.0,High
3,8,6,GPS,845.0,Unknown,181.0,High
4,8,3,GPS,845.0,Unknown,181.0,High
3,12,0,GPS,845.0,Unknown,181.0,Low
23,7,3,GPS,845.0,Unknown,181.0,High
2,1,0,GPS,845.0,Unknown,181.0,Medium
3,7,5,GPS,845.0,Unknown,181.0,Medium
0,7,6,GPS,845.0,Unknown,181.0,Low
22,8,4,GPS,845.0,Unknown,181.0,High
8,8,1,GPS,845.0,Unknown,181.0,Medium
1,12,4,GPS,845.0,Unknown,181.0,Medium
6,11,1,GPS,845.0,Unknown,181.0,Medium
14,12,0,GPS,845.0,Unknown,181.0,High
0,7,3,GPS,845.0,Unknown,181.0,Medium
17,5,6,GPS,845.0,Unknown,181.0,High
22,10,0,GPS,845.0,Unknown,181.0,High
8,6,4,GPS,845.0,Unknown,181.0,High
9,3,3,GPS,845.0,Unknown,181.0,High
21,6,0,GPS,845.0,Unknown,181.0,Medium
18,8,2,GPS,845.0,Unknown,181.0,Low
16,9,5,GPS,845.0,Unknown,181.0,High
8,8,6,GPS,845.0,Unknown,181.0,High
18,1,3,GPS,845.0,Unknown,181.0,Medium
6,4,2,GPS,845.0,Unknown,181.0,High
6,8,4,GPS,845.0,Unknown,181.0,Medium
22,9,6,GPS,845.0,Unknown,181.0,High
11,2,4,GPS,845.0,Unknown,181.0,High
7,9,4,GPS,845.0,Unknown,181.0,High
7,5,3,GPS,845.0,Unknown,181.0,Medium
4,10,3,GPS,845.0,Unknown,181.0,High
15,3,1,GPS,845.0,Unknown,181.0,High
15,3,3,GPS,845.0,Unknown,181.0,Medium
10,4,2,GPS,845.0,Unknown,181.0,Medium
1,1,1,GPS,845.0,Unknown,181.0,Medium
0,2,4,GPS,845.0,Unknown,181.0,Medium
3,6,3,GPS,845.0,Unknown,181.0,Medium
3,8,6,GPS,845.0,Unknown,181.0,Low
8,6,3,GPS,845.0,Unknown,181.0,High
23,11,5,GPS,845.0,Unknown,181.0,High
18,8,3,GPS,845.0,Unknown,181.0,High
12,11,5,GPS,845.0,Unknown,181.0,Medium
13,1,3,GPS,845.0,Unknown,181.0,Medium
12,3,6,GPS,845.0,Unknown,181.0,High
5,6,0,GPS,845.0,Unknown,181.0,Low
21,4,3,GPS,845.0,Unknown,181.0,High
0,4,0,GPS,845.0,Unknown,181.0,High
9,3,0,GPS,845.0,Unknown,181.0,Low
23,10,5,GPS,845.0,Unknown,181.0,High
10,1,1,GPS,845.0,Unknown,181.0,Medium
19,6,0,GPS,845.0,Unknown,181.0,Medium
8,5,2,GPS,845.0,Unknown,181.0,High
20,1,5,GPS,845.0,Unknown,181.0,High
8,12,2,GPS,845.0,Unknown,181.0,Medium
23,2,4,GPS,845.0,Unknown,181.0,Medium
16,5,6,GPS,845.0,Unknown,181.0,Low
5,6,4,GPS,845.0,Unknown,181.0,Medium
13,11,6,GPS,845.0,Unknown,181.0,Low
22,5,1,GPS,845.0,Unknown,181.0,High
3,9,4,GPS,845.0,Unknown,181.0,Medium
18,2,1,GPS,845.0,Unknown,181.0,High
1,10,0,GPS,845.0,Unknown,181.0,High
8,2,6,GPS,845.0,Unknown,181.0,High
23,8,6,GPS,845.0,Unknown,181.0,High
15,12,2,GPS,845.0,Unknown,181.0,Medium
10,5,1,GPS,845.0,Unknown,181.0,High
20,10,1,GPS,845.0,Unknown,181.0,High
2,9,5,GPS,845.0,Unknown,181.0,Low
6,5,1,GPS,845.0,Unknown,181.0,High
19,8,6,GPS,845.0,Unknown,181.0,High
0,5,1,GPS,845.0,Unknown,181.0,Medium
12,1,4,GPS,845.0,Unknown,181.0,High
4,3,1,GPS,845.0,Unknown,181.0,High
9,3,6,GPS,845.0,Unknown,181.0,Low
4,5,3,GPS,845.0,Unknown,181.0,High
13,6,0,GPS,845.0,Unknown,181.0,Low
5,5,0,GPS,845.0,Unknown,181.0,Low
20,6,4,GPS,845.0,Unknown,181.0,Low
23,12,2,GPS,845.0,Unknown,181.0,Medium
11,6,1,GPS,845.0,Unknown,181.0,High
2,12,0,GPS,845.0,Unknown,181.0,Medium
15,3,4,GPS,845.0,Unknown,181.0,Medium
0,12,6,GPS,845.0,Unknown,181.0,Medium
2,10,1,GPS,845.0,Unknown,181.0,Medium
6,12,3,GPS,845.0,Unknown,181.0,Low
22,1,5,GPS,845.0,Unknown,181.0,Medium
23,4,1,GPS,845.0,Unknown,181.0,Low
7,7,3,GPS,845.0,Unknown,181.0,High
8,5,5,GPS,845.0,Unknown,181.0,Medium
6,8,0,GPS,845.0,Unknown,181.0,High
2,2,1,GPS,845.0,Unknown,181.0,Medium
9,4,0,GPS,845.0,Unknown,181.0,High
7,12,3,GPS,845.0,Unknown,181.0,High
6,11,4,GPS,845.0,Unknown,181.0,High
15,3,1,GPS,845.0,Unknown,181.0,Low
10,10,2,GPS,845.0,Unknown,181.0,Medium
9,2,0,GPS,845.0,Unknown,181.0,Medium
14,6,0,GPS,845.0,Unknown,181.0,Low
18,6,5,GPS,845.0,Unknown,181.0,Low
23,6,2,GPS,845.0,Unknown,181.0,High
8,12,1,GPS,845.0,Unknown,181.0,Medium
23,8,0,GPS,845.0,Unknown,181.0,High
2,5,0,GPS,845.0,Unknown,181.0,High
4,9,4,GPS,845.0,Unknown,181.0,High
6,7,4,GPS,845.0,Unknown,181.0,Medium
9,2,4,GPS,845.0,Unknown,181.0,High
0,10,0,GPS,845.0,Unknown,181.0,High
23,3,0,GPS,845.0,Unknown,181.0,Medium
13,8,6,GPS,845.0,Unknown,181.0,High
2,10,5,GPS,845.0,Unknown,181.0,High
10,3,2,GPS,845.0,Unknown,181.0,Medium
0,2,0,GPS,845.0,Unknown,181.0,Medium
19,12,2,GPS,845.0,Unknown,181.0,High
16,8,3,GPS,845.0,Unknown,181.0,High
13,3,1,GPS,845.0,Unknown,181.0,Medium
7,1,4,GPS,845.0,Unknown,181.0,Medium
16,12,4,GPS,845.0,Unknown,181.0,Medium
4,3,4,GPS,845.0,Unknown,181.0,High
17,3,2,GPS,845.0,Unknown,181.0,High
7,9,6,GPS,845.0,Unknown,181.0,Medium
23,5,1,GPS,845.0,Unknown,181.0,High
6,1,1,GPS,845.0,Unknown,181.0,High
5,7,4,GPS,845.0,Unknown,181.0,High
17,1,2,GPS,845.0,Unknown,181.0,High
10,6,4,GPS,845.0,Unknown,181.0,Medium
9,4,0,GPS,845.0,Unknown,181.0,Low
3,11,3,GPS,845.0,Unknown,181.0,High
22,10,5,GPS,845.0,Unknown,181.0,High
4,9,6,GPS,845.0,Unknown,181.0,High
15,8,4,GPS,845.0,Unknown,181.0,High
6,9,6,GPS,845.0,Unknown,181.0,Low
1,4,6,GPS,845.0,Unknown,181.0,Low
2,2,5,GPS,845.0,Unknown,181.0,Medium
3,3,1,GPS,845.0,Unknown,181.0,Medium
23,10,3,GPS,845.0,Unknown,181.0,Low
10,2,3,GPS,845.0,Unknown,181.0,High
23,3,1,GPS,845.0,Unknown,181.0,Low
7,5,1,GPS,845.0,Unknown,181.0,Medium
15,10,3,GPS,845.0,Unknown,181.0,High
21,11,5,GPS,845.0,Unknown,181.0,Low
20,6,3,GPS,845.0,Unknown,181.0,High
8,5,2,GPS,845.0,Unknown,181.0,Low
1,5,1,GPS,845.0,Unknown,181.0,High
20,10,5,GPS,845.0,Unknown,181.0,Medium
12,3,0,GPS,845.0,Unknown,181.0,Medium
19,4,3,GPS,845.0,Unknown,181.0,Low
9,8,3,GPS,845.0,Unknown,181.0,High
10,11,1,GPS,845.0,Unknown,181.0,Medium
22,12,0,GPS,845.0,Unknown,181.0,High
5,7,5,GPS,845.0,Unknown,181.0,High
15,9,6,GPS,845.0,Unknown,181.0,Low
1,3,6,GPS,845.0,Unknown,181.0,Medium
3,2,6,GPS,845.0,Unknown,181.0,High
5,8,2,GPS,845.0,Unknown,181.0,High
16,4,5,GPS,845.0,Unknown,181.0,Medium
19,5,2,GPS,845.0,Unknown,181.0,Low
17,11,5,GPS,845.0,Unknown,181.0,High
3,5,0,GPS,845.0,Unknown,181.0,Medium
4,3,0,GPS,845.0,Unknown,181.0,Medium
9,8,6,GPS,845.0,Unknown,181.0,High
0,3,1,GPS,845.0,Unknown,181.0,High
13,5,0,GPS,845.0,Unknown,181.0,High
0,12,1,GPS,845.0,Unknown,181.0,High
0,2,2,GPS,845.0,Unknown,181.0,High
20,3,0,GPS,845.0,Unknown,181.0,Low
4,4,5,GPS,845.0,Unknown,181.0,High
13,6,1,GPS,845.0,Unknown,181.0,High
3,6,1,GPS,845.0,Unknown,181.0,Medium
21,9,3,GPS,845.0,Unknown,181.0,High
4,8,5,GPS,845.0,Unknown,181.0,High
22,1,5,GPS,845.0,Unknown,181.0,Low
19,12,1,GPS,845.0,Unknown,181.0,High
23,5,2,GPS,845.0,Unknown,181.0,Medium
18,7,2,GPS,845.0,Unknown,181.0,Low
20,8,3,GPS,845.0,Unknown,181.0,Low
4,10,4,GPS,845.0,Unknown,181.0,High
12,6,0,GPS,845.0,Unknown,181.0,High
16,10,2,GPS,845.0,Unknown,181.0,Medium
16,11,5,GPS,845.0,Unknown,181.0,Medium
20,12,3,GPS,845.0,Unknown,181.0,Medium
0,9,6,GPS,845.0,Unknown,181.0,High
16,7,5,GPS,845.0,Unknown,181.0,Low
12,6,4,GPS,845.0,Unknown,181.0,High
2,4,6,GPS,845.0,Unknown,181.0,Medium
14,2,1,GPS,845.0,Unknown,181.0,Low
20,3,5,GPS,845.0,Unknown,181.0,Medium
2,3,5,GPS,845.0,Unknown,181.0,Low
14,11,0,GPS,845.0,Unknown,181.0,Medium
9,7,1,GPS,845.0,Unknown,181.0,Medium
10,12,4,GPS,845.0,Unknown,181.0,Low
13,4,1,GPS,845.0,Unknown,181.0,Low
14,3,5,GPS,845.0,Unknown,181.0,Medium
19,11,1,GPS,845.0,Unknown,181.0,High
23,12,0,GPS,845.0,Unknown,181.0,High
19,8,2,GPS,845.0,Unknown,181.0,Low
16,12,1,GPS,845.0,Unknown,181.0,Medium
3,3,0,GPS,845.0,Unknown,181.0,Low
18,10,6,GPS,845.0,Unknown,181.0,Medium
3,3,3,GPS,845.0,Unknown,181.0,Medium
19,2,3,GPS,845.0,Unknown,181.0,Medium
2,11,5,GPS,845.0,Unknown,181.0,Low
0,1,1,GPS,845.0,Unknown,181.0,High
23,8,3,GPS,845.0,Unknown,181.0,Medium
7,5,2,GPS,845.0,Unknown,181.0,Medium
15,7,3,GPS,845.0,Unknown,181.0,High
1,5,3,GPS,845.0,Unknown,181.0,Medium
13,4,3,GPS,845.0,Unknown,181.0,Medium
4,2,5,GPS,845.0,Unknown,181.0,Medium
13,9,5,GPS,845.0,Unknown,181.0,High
18,5,6,GPS,845.0,Unknown,181.0,High
19,8,4,GPS,845.0,Unknown,181.0,Low
3,12,6,GPS,845.0,Unknown,181.0,High
21,1,4,GPS,845.0,Unknown,181.0,Medium
14,1,5,GPS,845.0,Unknown,181.0,High
15,6,4,GPS,845.0,Unknown,181.0,High
10,1,1,GPS,845.0,Unknown,181.0,Low
21,9,6,GPS,845.0,Unknown,181.0,High
4,6,5,GPS,845.0,Unknown,181.0,High
9,6,0,GPS,845.0,Unknown,181.0,Medium
6,4,1,GPS,845.0,Unknown,181.0,High
23,12,2,GPS,845.0,Unknown,181.0,High
11,12,5,GPS,845.0,Unknown,181.0,High
5,10,4,GPS,845.0,Unknown,181.0,Medium
3,11,3,GPS,845.0,Unknown,181.0,Medium
22,7,2,GPS,845.0,Unknown,181.0,Low
8,2,4,GPS,845.0,Unknown,181.0,High
6,9,0,GPS,845.0,Unknown,181.0,Medium
21,9,6,GPS,845.0,Unknown,181.0,Medium
17,5,3,GPS,845.0,Unknown,181.0,Low
10,12,3,GPS,845.0,Unknown,181.0,Medium
12,3,3,GPS,845.0,Unknown,181.0,Medium
8,8,2,GPS,845.0,Unknown,181.0,High
16,2,6,GPS,845.0,Unknown,181.0,Medium
1,2,2,GPS,845.0,Unknown,181.0,High
9,8,1,GPS,845.0,Unknown,181.0,High
3,6,2,GPS,845.0,Unknown,181.0,Medium
13,3,2,GPS,845.0,Unknown,181.0,Low
15,11,3,GPS,845.0,Unknown,181.0,High
18,4,5,GPS,845.0,Unknown,181.0,High
15,9,0,GPS,845.0,Unknown,181.0,Medium
21,6,0,GPS,845.0,Unknown,181.0,Medium
4,3,5,GPS,845.0,Unknown,181.0,High
22,5,1,GPS,845.0,Unknown,181.0,Medium
19,5,3,GPS,845.0,Unknown,181.0,High
5,3,4,GPS,845.0,Unknown,181.0,Medium
22,11,6,GPS,845.0,Unknown,181.0,Low
5,1,2,GPS,845.0,Unknown,181.0,Medium
12,5,0,GPS,845.0,Unknown,181.0,High
5,1,0,GPS,845.0,Unknown,181.0,High
13,8,4,GPS,845.0,Unknown,181.0,Medium
16,7,0,GPS,845.0,Unknown,181.0,High
1,2,2,GPS,845.0,Unknown,181.0,Medium
20,5,6,GPS,845.0,Unknown,181.0,High
17,2,1,GPS,845.0,Unknown,181.0,High
4,12,6,GPS,845.0,Unknown,181.0,Medium
8,2,6,GPS,845.0,Unknown,181.0,Medium
18,3,5,GPS,845.0,Unknown,181.0,High
12,1,0,GPS,845.0,Unknown,181.0,Medium
8,2,6,GPS,845.0,Unknown,181.0,Medium
13,9,0,GPS,845.0,Unknown,181.0,Medium
20,12,1,GPS,845.0,Unknown,181.0,Medium
4,9,5,GPS,845.0,Unknown,181.0,Medium
14,4,4,GPS,845.0,Unknown,181.0,Medium
10,2,0,GPS,845.0,Unknown,181.0,High
0,7,2,GPS,845.0,Unknown,181.0,Medium
15,5,0,GPS,845.0,Unknown,181.0,Medium
1,2,3,GPS,845.0,Unknown,181.0,Medium
4,2,4,GPS,845.0,Unknown,181.0,Medium
2,4,3,GPS,845.0,Unknown,181.0,High
14,10,5,GPS,845.0,Unknown,181.0,Low
10,11,5,GPS,845.0,Unknown,181.0,Low
15,8,0,GPS,845.0,Unknown,181.0,High
7,9,1,GPS,845.0,Unknown,181.0,High
13,1,4,GPS,845.0,Unknown,181.0,Medium
9,2,2,GPS,845.0,Unknown,181.0,High
7,10,3,GPS,845.0,Unknown,181.0,Medium
22,10,3,GPS,845.0,Unknown,181.0,High
1,10,6,GPS,845.0,Unknown,181.0,High
4,9,5,GPS,845.0,Unknown,181.0,Low
4,7,2,GPS,845.0,Unknown,181.0,High
23,2,2,GPS,845.0,Unknown,181.0,High
12,7,0,GPS,845.0,Unknown,181.0,High
3,10,2,GPS,845.0,Unknown,181.0,High
3,12,3,GPS,845.0,Unknown,181.0,Low
8,7,1,GPS,845.0,Unknown,181.0,Low
3,5,5,GPS,845.0,Unknown,181.0,Medium
1,12,4,GPS,845.0,Unknown,181.0,Low
16,7,5,GPS,845.0,Unknown,181.0,High
21,6,0,GPS,845.0,Unknown,181.0,High
17,5,3,GPS,845.0,Unknown,181.0,Medium
13,4,5,GPS,845.0,Unknown,181.0,High
5,4,6,GPS,845.0,Unknown,181.0,High
21,11,3,GPS,845.0,Unknown,181.0,High
9,1,1,GPS,845.0,Unknown,181.0,Medium
18,2,3,GPS,845.0,Unknown,181.0,Low
10,4,6,GPS,845.0,Unknown,181.0,High
21,1,0,GPS,845.0,Unknown,181.0,Low
23,10,3,GPS,845.0,Unknown,181.0,Medium
5,2,5,GPS,845.0,Unknown,181.0,High
8,9,3,GPS,845.0,Unknown,181.0,Medium
10,1,1,GPS,845.0,Unknown,181.0,Medium
23,7,5,GPS,845.0,Unknown,181.0,Medium
6,5,5,GPS,845.0,Unknown,181.0,High
21,9,4,GPS,845.0,Unknown,181.0,High
18,8,3,GPS,845.0,Unknown,181.0,High
17,11,5,GPS,845.0,Unknown,181.0,Low
12,8,0,GPS,845.0,Unknown,181.0,High
9,1,3,GPS,845.0,Unknown,181.0,Medium
14,12,0,GPS,845.0,Unknown,181.0,High
23,11,4,GPS,845.0,Unknown,181.0,High
17,5,3,GPS,845.0,Unknown,181.0,High
17,4,6,GPS,845.0,Unknown,181.0,High
10,1,3,GPS,845.0,Unknown,181.0,Medium
20,5,2,GPS,845.0,Unknown,181.0,Medium
19,8,2,GPS,845.0,Unknown,181.0,Medium
10,12,3,GPS,845.0,Unknown,181.0,High
7,2,6,GPS,845.0,Unknown,181.0,High
12,12,1,GPS,845.0,Unknown,181.0,High
5,8,0,GPS,845.0,Unknown,181.0,Medium
1,6,3,GPS,845.0,Unknown,181.0,High
0,4,2,GPS,845.0,Unknown,181.0,High
5,10,1,GPS,845.0,Unknown,181.0,High
17,7,4,GPS,845.0,Unknown,181.0,High
10,5,3,GPS,845.0,Unknown,181.0,Medium
3,5,4,GPS,845.0,Unknown,181.0,Low
14,8,6,GPS,845.0,Unknown,181.0,Low
6,4,2,GPS,845.0,Unknown,181.0,Medium
18,9,4,GPS,845.0,Unknown,181.0,Low
17,8,4,GPS,845.0,Unknown,181.0,High
17,2,2,GPS,845.0,Unknown,181.0,Low
7,4,5,GPS,845.0,Unknown,181.0,Medium
20,11,4,GPS,845.0,Unknown,181.0,Medium
9,12,4,GPS,845.0,Unknown,181.0,Medium
12,8,3,GPS,845.0,Unknown,181.0,High
0,11,2,GPS,845.0,Unknown,181.0,High
23,1,5,GPS,845.0,Unknown,181.0,Low
21,8,3,GPS,845.0,Unknown,181.0,High
10,9,0,GPS,845.0,Unknown,181.0,High
4,10,0,GPS,845.0,Unknown,181.0,High
1,5,5,GPS,845.0,Unknown,181.0,Low
22,11,2,GPS,845.0,Unknown,181.0,Low
15,10,5,GPS,845.0,Unknown,181.0,Low
17,5,6,GPS,845.0,Unknown,181.0,High
5,11,0,GPS,845.0,Unknown,181.0,High
17,4,3,GPS,845.0,Unknown,181.0,High
22,9,2,GPS,845.0,Unknown,181.0,High
16,6,6,GPS,845.0,Unknown,181.0,High
17,5,6,GPS,845.0,Unknown,181.0,Medium
23,5,5,GPS,845.0,Unknown,181.0,High
10,6,3,GPS,845.0,Unknown,181.0,Medium
19,4,2,GPS,845.0,Unknown,181.0,High
8,3,5,GPS,845.0,Unknown,181.0,High
17,11,6,GPS,845.0,Unknown,181.0,Medium
20,3,5,GPS,845.0,Unknown,181.0,Medium
17,3,4,GPS,845.0,Unknown,181.0,High
5,5,1,GPS,845.0,Unknown,181.0,Medium
5,5,0,GPS,845.0,Unknown,181.0,High
21,11,3,GPS,845.0,Unknown,181.0,Low
16,8,2,GPS,845.0,Unknown,181.0,Medium
5,3,5,GPS,845.0,Unknown,181.0,High
16,4,6,GPS,845.0,Unknown,181.0,Medium
11,10,4,GPS,845.0,Unknown,181.0,Medium
9,7,4,GPS,845.0,Unknown,181.0,High
9,12,1,GPS,845.0,Unknown,181.0,Low
3,9,4,GPS,845.0,Unknown,181.0,Medium
20,8,2,GPS,845.0,Unknown,181.0,Medium
9,2,5,GPS,845.0,Unknown,181.0,High
1,6,0,GPS,845.0,Unknown,181.0,Medium
15,11,3,GPS,845.0,Unknown,181.0,High
10,9,6,GPS,845.0,Unknown,181.0,Medium
3,8,6,GPS,845.0,Unknown,181.0,High
7,2,6,GPS,845.0,Unknown,181.0,High
14,8,1,GPS,845.0,Unknown,181.0,Medium
18,2,5,GPS,845.0,Unknown,181.0,High
7,4,1,GPS,845.0,Unknown,181.0,Medium
19,4,6,GPS,845.0,Unknown,181.0,High
19,5,4,GPS,845.0,Unknown,181.0,High
11,3,4,GPS,845.0,Unknown,181.0,Medium
20,5,6,GPS,845.0,Unknown,181.0,High
7,1,6,GPS,845.0,Unknown,181.0,High
23,11,0,GPS,845.0,Unknown,181.0,Low
13,2,5,GPS,845.0,Unknown,181.0,Medium
7,12,2,GPS,845.0,Unknown,181.0,Low
9,3,4,GPS,845.0,Unknown,181.0,Low
19,11,4,GPS,845.0,Unknown,181.0,High
8,2,6,GPS,845.0,Unknown,181.0,High
1,8,1,GPS,845.0,Unknown,181.0,High
7,2,6,GPS,845.0,Unknown,181.0,Medium
20,1,5,GPS,845.0,Unknown,181.0,High
23,2,1,GPS,845.0,Unknown,181.0,High
11,1,0,GPS,845.0,Unknown,181.0,High
4,3,3,GPS,845.0,Unknown,181.0,Low
8,4,6,GPS,845.0,Unknown,181.0,Low
14,11,3,GPS,845.0,Unknown,181.0,High
5,1,6,GPS,845.0,Unknown,181.0,High
17,2,1,GPS,845.0,Unknown,181.0,High
15,1,2,GPS,845.0,Unknown,181.0,High
7,10,2,GPS,845.0,Unknown,181.0,Low
10,12,3,GPS,845.0,Unknown,181.0,High
10,4,5,GPS,845.0,Unknown,181.0,High
1,3,3,GPS,845.0,Unknown,181.0,Medium
12,3,4,GPS,845.0,Unknown,181.0,High
7,10,0,GPS,845.0,Unknown,181.0,Medium
15,7,0,GPS,845.0,Unknown,181.0,High
4,11,4,GPS,845.0,Unknown,181.0,High
2,12,6,GPS,845.0,Unknown,181.0,High
19,5,2,GPS,845.0,Unknown,181.0,Low
13,9,3,GPS,845.0,Unknown,181.0,Medium
12,2,1,GPS,845.0,Unknown,181.0,Low
18,1,0,GPS,845.0,Unknown,181.0,High
10,7,0,GPS,845.0,Unknown,181.0,Low
21,6,5,GPS,845.0,Unknown,181.0,Medium
7,9,0,GPS,845.0,Unknown,181.0,Medium
4,10,6,GPS,845.0,Unknown,181.0,Low
23,6,2,GPS,845.0,Unknown,181.0,High
6,9,0,GPS,845.0,Unknown,181.0,High
21,7,0,GPS,845.0,Unknown,181.0,Low
9,11,0,GPS,845.0,Unknown,181.0,Medium
3,9,6,GPS,845.0,Unknown,181.0,Low
20,6,1,GPS,845.0,Unknown,181.0,High
18,10,4,GPS,845.0,Unknown,181.0,High
17,12,1,GPS,845.0,Unknown,181.0,Low
12,11,2,GPS,845.0,Unknown,181.0,Medium
19,3,1,GPS,845.0,Unknown,181.0,Medium
1,7,4,GPS,845.0,Unknown,181.0,Medium
10,8,0,GPS,845.0,Unknown,181.0,Medium
3,11,0,GPS,845.0,Unknown,181.0,High
5,10,0,GPS,845.0,Unknown,181.0,High
14,5,5,GPS,845.0,Unknown,181.0,Medium
1,5,0,GPS,845.0,Unknown,181.0,Medium
15,4,5,GPS,845.0,Unknown,181.0,High
14,2,6,GPS,845.0,Unknown,181.0,High
7,7,5,GPS,845.0,Unknown,181.0,Low
20,11,2,GPS,845.0,Unknown,181.0,Medium
13,7,2,GPS,845.0,Unknown,181.0,Medium
5,1,6,GPS,845.0,Unknown,181.0,Low
3,6,5,GPS,845.0,Unknown,181.0,Medium
8,11,1,GPS,845.0,Unknown,181.0,Medium
13,6,1,GPS,845.0,Unknown,181.0,Medium
13,9,2,GPS,845.0,Unknown,181.0,High
20,1,5,GPS,845.0,Unknown,181.0,High
9,9,1,GPS,845.0,Unknown,181.0,Medium
23,9,5,GPS,845.0,Unknown,181.0,Medium
4,2,5,GPS,845.0,Unknown,181.0,Medium
2,6,0,GPS,845.0,Unknown,181.0,High
1,5,4,GPS,845.0,Unknown,181.0,High
1,5,5,GPS,845.0,Unknown,181.0,High
5,9,2,GPS,845.0,Unknown,181.0,High
13,3,0,GPS,845.0,Unknown,181.0,Medium
11,6,2,GPS,845.0,Unknown,181.0,High
14,8,1,GPS,845.0,Unknown,181.0,Low
11,2,4,GPS,845.0,Unknown,181.0,High
18,4,3,GPS,845.0,Unknown,181.0,Low
19,1,2,GPS,845.0,Unknown,181.0,High
4,6,6,Geomagnetic,845.0,Unknown,181.0,High
13,12,0,Geomagnetic,845.0,Unknown,181.0,Low
2,6,4,Geomagnetic,845.0,Unknown,181.0,High
4,6,5,Geomagnetic,845.0,Unknown,181.0,High
11,8,2,Geomagnetic,845.0,Unknown,181.0,Low
21,7,0,Geomagnetic,845.0,Unknown,181.0,Low
18,3,5,Geomagnetic,845.0,Unknown,181.0,Medium
8,7,6,Geomagnetic,845.0,Unknown,181.0,High
6,1,2,Geomagnetic,845.0,Unknown,181.0,Low
20,5,5,Geomagnetic,845.0,Unknown,181.0,Low
23,7,1,Geomagnetic,845.0,Unknown,181.0,Low
0,1,5,Geomagnetic,845.0,Unknown,181.0,High
8,2,6,Geomagnetic,845.0,Unknown,181.0,Low
14,4,1,Geomagnetic,845.0,Unknown,181.0,Low
11,2,5,Geomagnetic,845.0,Unknown,181.0,High
14,1,0,Geomagnetic,845.0,Unknown,181.0,Low
8,8,3,Geomagnetic,845.0,Unknown,181.0,Low
20,9,4,Geomagnetic,845.0,Unknown,181.0,Low
8,10,3,Geomagnetic,845.0,Unknown,181.0,High
13,10,4,Geomagnetic,845.0,Unknown,181.0,High
14,2,0,Geomagnetic,845.0,Unknown,181.0,Low
12,1,0,Geomagnetic,845.0,Unknown,181.0,High
6,3,5,Geomagnetic,845.0,Unknown,181.0,High
9,2,6,Geomagnetic,845.0,Unknown,181.0,Low
10,10,3,Geomagnetic,845.0,Unknown,181.0,Medium
15,12,0,Geomagnetic,845.0,Unknown,181.0,Low
12,3,5,Geomagnetic,845.0,Unknown,181.0,Low
3,4,2,Geomagnetic,845.0,Unknown,181.0,Low
15,6,2,Geomagnetic,845.0,Unknown,181.0,Low
13,10,0,Geomagnetic,845.0,Unknown,181.0,Low
16,4,5,Geomagnetic,845.0,Unknown,181.0,High
0,1,6,Geomagnetic,845.0,Unknown,181.0,Low
6,10,2,Geomagnetic,845.0,Unknown,181.0,Medium
1,9,1,Geomagnetic,845.0,Unknown,181.0,Medium
18,4,6,Geomagnetic,845.0,Unknown,181.0,Medium
14,1,4,Geomagnetic,845.0,Unknown,181.0,Medium
19,12,4,Geomagnetic,845.0,Unknown,181.0,High
21,7,0,Geomagnetic,845.0,Unknown,181.0,High
10,12,2,Geomagnetic,845.0,Unknown,181.0,Low
2,5,4,Geomagnetic,845.0,Unknown,181.0,Low
8,8,6,Geomagnetic,845.0,Unknown,181.0,Low
20,7,2,Geomagnetic,845.0,Unknown,181.0,Low
12,11,6,Geomagnetic,845.0,Unknown,181.0,Low
8,5,5,Geomagnetic,845.0,Unknown,181.0,Low
7,5,0,Geomagnetic,845.0,Unknown,181.0,Low
22,8,6,Geomagnetic,845.0,Unknown,181.0,High
13,4,3,Geomagnetic,845.0,Unknown,181.0,Medium
0,5,6,Geomagnetic,845.0,Unknown,181.0,High
4,12,3,Geomagnetic,845.0,Unknown,181.0,Medium
0,9,1,Geomagnetic,845.0,Unknown,181.0,Low
8,5,3,Geomagnetic,845.0,Unknown,181.0,Low
4,8,6,Geomagnetic,845.0,Unknown,181.0,High
22,9,4,Geomagnetic,845.0,Unknown,181.0,High
8,8,2,Geomagnetic,845.0,Unknown,181.0,Low
7,12,3,Geomagnetic,845.0,Unknown,181.0,Low
10,1,5,Geomagnetic,845.0,Unknown,181.0,Low
21,12,0,Geomagnetic,845.0,Unknown,181.0,High
22,6,0,Geomagnetic,845.0,Unknown,181.0,High
13,12,3,Geomagnetic,845.0,Unknown,181.0,Medium
0,3,1,Geomagnetic,845.0,Unknown,181.0,High
23,11,3,Geomagnetic,845.0,Unknown,181.0,High
1,12,4,Geomagnetic,845.0,Unknown,181.0,High
16,1,4,Geomagnetic,845.0,Unknown,181.0,High
13,8,0,Geomagnetic,845.0,Unknown,181.0,Medium
12,7,3,Geomagnetic,845.0,Unknown,181.0,High
18,12,5,Geomagnetic,845.0,Unknown,181.0,Medium
6,3,6,Geomagnetic,845.0,Unknown,181.0,High
12,1,6,Geomagnetic,845.0,Unknown,181.0,High
15,4,0,Geomagnetic,845.0,Unknown,181.0,High
7,2,2,Geomagnetic,845.0,Unknown,181.0,Low
